duration_ms,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,top100
49546,0.611,0.077,-19.799,0.102,0.94,0.223,0.561,66.858,0
49632,0.436,0.961,-4.104,0.194,0.000546,0.0811,0.336,149.172,0
49869,0.226,0.201,-24.448,0.0477,0.985,0.156,0.325,127.242,0
49986,0.605,0.802,-3.276,0.0401,0.176,0.159,0.914,152.187,0
50080,0.5,0.0503,-32.576,0.0541,0.991,0.0956,0.432,125.262,0
50333,0.646,0.979,-5.063,0.91,0.852,0.677,0.0486,63.872,0
50373,0.456,0.738,-3.777,0.0434,0.00925,0.0692,0.705,173.406,0
50457,0.333,0.961,-3.709,0.105,0.000165,0.0528,0.665,155.005,0
50520,0.244,0.0149,-24.99,0.0476,0.985,0.161,0.125,138.321,0
50533,0.715,0.0319,-23.01,0.131,0.995,0.123,0.764,140.076,0
50773,0.395,0.868,-4.233,0.182,0.519,0.127,0.936,148.415,0
50902,0.523,0.126,-11.306,0.0335,0.925,0.116,0.513,74.732,0
50960,0.595,0.233,-14.183,0.193,0.803,0.114,0.409,138.814,0
51000,0.535,0.113,-22.767,0.233,0.93,0.0982,0.333,119.958,0
51000,0.344,0.146,-13.114,0.0335,0.971,0.118,0.435,140.727,0
51093,0.555,0.209,-20.547,0.362,0.195,0.19,0.083,92.934,0
51122,0.509,0.632,-10.009,0.948,0.91,0.529,0.824,174.472,0
51124,0.661,0.558,-7.054,0.167,0.0464,0.083,0.541,80.011,0
51146,0.249,0.959,-6.493,0.0601,7.55E-05,0.586,0.489,103.671,0
51147,0.648,0.793,-6.144,0.334,0.0146,0.502,0.711,120.914,0
51223,0.234,0.112,-28.132,0.0449,0.994,0.14,0.769,157.187,0
51240,0.604,0.162,-14.847,0.496,0.83,0.503,0.444,165.267,0
51246,0.918,0.475,-6.998,0.0493,0.544,0.0954,0.696,90.006,0
51246,0.808,0.395,-6.708,0.156,0.747,0.142,0.832,180.177,0
51320,0.454,0.462,-15.791,0.587,0.0227,0.0958,0.903,78.184,0
51360,0.703,0.18,-15.426,0.435,0.847,0.104,0.157,82.376,0
51360,0.646,0.116,-16.07,0.187,0.884,0.125,0.334,82.769,0
51613,0.472,0.268,-14.291,0.237,0.815,0.497,0.56,130.093,0
51838,0.393,0.994,-2.26,0.234,0.0264,0.417,0.389,126.798,0
51933,0.271,0.405,-10.839,0.0379,0.337,0.165,0.188,109.041,0
52040,0.767,0.738,-4.351,0.0699,0.522,0.123,0.851,150.088,0
52066,0.784,0.207,-12.478,0.047,0.832,0.117,0.548,112.266,0
52129,0.905,0.511,-5.975,0.0472,0.615,0.049,0.97,108.089,0
52178,0.317,0.869,-12.035,0.524,0.927,0.957,0.119,116.889,0
52213,0.514,0.0489,-23.578,0.0275,0.964,0.233,0.453,97.303,0
52213,0.327,0.251,-9.002,0.0328,0.903,0.139,0.446,202.984,0
52222,0.322,0.984,-6.852,0.375,0.0224,0.39,0.0362,179.482,0
52226,0.29,0.774,-7.3,0.0515,3.70E-06,0.148,0.549,136.397,0
52333,0.515,0.652,-7.004,0.0769,0.47,0.186,0.782,96.468,0
52466,0.162,0.0614,-28.258,0.0464,0.776,0.151,0.0329,147.868,0
52466,0.162,0.0614,-28.258,0.0464,0.776,0.151,0.0329,147.868,0
52466,0.165,0.058,-28.367,0.0474,0.793,0.143,0.0343,147.948,0
52546,0.359,0.221,-7.627,0.0391,0.994,0.311,0.438,94.533,0
52693,0.186,0.103,-17.707,0.0453,0.92,0.0679,0.257,175.573,0
52711,0.513,0.781,-7.231,0.535,0.133,0.179,0.759,187.448,0
52760,0.629,0.541,-12.285,0.0852,0.769,0.123,0.844,109.404,0
52773,0.637,0.0523,-24.744,0.736,0.84,0.117,0.238,94.005,0
52800,0.391,0.772,-9.442,0.935,0.842,0.93,0.492,172.228,0
52813,0.433,0.235,-14.07,0.0679,0.784,0.382,0.452,145.245,0
52866,0.655,0.789,-3.995,0.0489,0.423,0.13,0.66,92.968,0
53040,0.505,0.761,-4.249,0.0871,0.801,0.194,0.567,132.481,0
53106,0.346,0.0269,-20.336,0.0439,0.978,0.096,0.202,85.786,0
53247,0.61,0.925,-4.01,0.114,0.00804,0.131,0.442,101.992,0
53286,0.389,0.595,-15.284,0.673,0.76,0.669,0.479,96.998,0
53333,0.2,0.13,-23.285,0.0481,0.878,0.114,0.336,110.51,0
53360,0.506,0.948,-5.427,0.478,0.652,0.97,0.965,98.837,0
53382,0.286,0.145,-22.943,0.0353,0.454,0.214,0.324,160.459,0
53466,0.787,0.714,-8.492,0.049,0.489,0.22,0.408,129.758,0
53480,0.868,0.307,-14.064,0.402,0.468,0.0599,0.966,109.869,0
53493,0.847,0.285,-8.597,0.0942,0.972,0.101,0.931,109.706,0
53493,0.974,0.469,-8.564,0.255,0.773,0.123,0.459,118.872,0
53568,0.553,0.71,-3.032,0.0985,0.279,0.259,0.769,169.5,0
53600,0.672,0.932,-3.096,0.096,0.545,0.305,0.581,141.824,0
53613,0.457,0.839,-4.377,0.142,0.645,0.0851,0.601,156.564,0
53626,0.612,0.678,-4.956,0.0344,0.301,0.16,0.762,171.153,0
53986,0.343,0.981,-6.285,0.256,0.000767,0.0941,0.532,195.882,0
54026,0.58,0.651,-5.977,0.0945,0.574,0.109,0.412,169.969,0
54040,0.354,0.0427,-20.487,0.039,0.894,0.128,0.238,119.003,0
54132,0.132,0.905,-12.388,0.0609,1.77E-06,0.235,0.441,198.465,0
54152,0.909,0.488,-5.962,0.0461,0.654,0.062,0.968,108.094,0
54226,0.489,0.859,-5.463,0.0413,0.000179,0.228,0.542,92.84,0
54381,0.397,0.308,-7.512,0.17,0.604,0.364,0.509,46.592,0
